Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2000-11-14,208.0,210.75,203.4,192.24166666666667,6.96,-1.3908333,18708.396,0.2,2.0
2000-11-15,208.5,210.03571428571428,203.55,192.575,8.66,-1.8970832,22579.197,0.0,0.0
2000-11-16,208.25,209.60714285714286,203.71666666666667,192.91666666666666,6.44,0.084166706,17250.484,1.2,6.0
2000-11-17,209.25,209.32142857142858,203.95833333333334,193.26944444444445,6.57,-5.2241664,19550.404,0.0,0.0
2000-11-18,209.25,209.03571428571428,204.16666666666666,193.62222222222223,5.91,-4.767916,15544.603,0.0,0.0
2000-11-19,209.25,208.75,204.375,193.98888888888888,8.26,-1.3366667,21031.068,0.5,2.0
2000-11-20,212.25,209.25,204.68333333333334,194.3972222222222,5.44,-7.415834,7639.443,0.0,0.0
2000-11-21,210.25,209.57142857142858,204.925,194.7861111111111,10.12,-7.8762493,30492.207,0.0,0.0
2000-11-22,210.25,209.82142857142858,205.24166666666667,195.16666666666666,9.62,-6.8970833,30098.625,0.0,0.0
2000-11-23,210.25,210.10714285714286,205.55833333333334,195.54166666666666,9.8,-2.6679163,29956.059,0.0,0.0
2000-11-24,210.75,210.32142857142858,205.93333333333334,195.92222222222222,9.57,-1.7950001,29515.83,0.0,0.0
2000-11-25,210.75,210.53571428571428,206.35833333333332,196.30277777777778,6.68,0.50500005,21297.977,0.0,0.0
2000-11-26,210.75,210.75,206.84166666666667,196.65,8.46,-1.3470832,29159.541,0.0,0.0
2000-11-27,212.5,210.78571428571428,207.38333333333333,196.9638888888889,9.06,-0.6241665,29310.96,0.0,0.0
2000-11-28,209.75,210.71428571428572,207.83333333333334,197.27777777777777,6.11,-0.13666652,17684.451,0.6,1.0
2000-11-29,207.5,210.32142857142858,208.21666666666667,197.5611111111111,3.45,0.955,675.3152,0.0,0.0
2000-11-30,205.0,209.57142857142858,208.51666666666668,197.80277777777778,6.03,-0.74083346,24450.328,0.0,0.0
2000-12-01,209.0,209.32142857142858,208.95,198.0888888888889,4.98,0.15916666,3470.8162,4.4,13.0
2000-12-02,209.0,209.07142857142858,209.175,198.375,9.48,-2.8033333,29273.176,1.4000001,8.0
2000-12-03,209.0,208.82142857142858,209.4,198.6611111111111,9.12,-6.0241675,28800.0,0.0,0.0
2000-12-04,210.0,208.46428571428572,209.65833333333333,198.95555555555555,7.34,-1.5158335,25930.406,0.0,0.0
2000-12-05,210.0,208.5,209.91666666666666,199.21944444444443,6.74,-9.586667,21058.963,0.0,0.0
2000-12-06,210.0,208.85714285714286,209.93333333333334,199.54166666666666,5.95,-7.7533336,17249.477,0.3,3.0
2000-12-07,210.0,209.57142857142858,209.89166666666668,199.85555555555555,6.17,0.5425002,22226.137,0.0,0.0
2000-12-08,210.0,209.71428571428572,209.775,200.16944444444445,8.75,-4.6699996,29122.62,0.0,0.0
2000-12-09,210.0,209.85714285714286,209.73333333333332,200.48333333333332,3.02,-4.26375,2442.4443,0.2,1.0
2000-12-10,210.0,210.0,209.69166666666666,200.76944444444445,5.52,-4.5866666,18000.0,0.1,1.0
2000-12-11,210.0,210.0,209.65,201.0361111111111,4.13,-18.267916,0.0,17.400002,23.0
2000-12-12,210.0,210.0,209.60833333333332,201.34166666666667,8.44,-23.067919,28467.662,0.1,1.0
2000-12-13,210.0,210.0,209.65,201.6638888888889,4.05,-19.269999,0.0,4.7000003,12.0
2000-12-14,210.0,210.0,209.71666666666667,201.98611111111111,6.42,-12.81375,9232.2295,0.4,3.0
2000-12-15,210.0,210.0,209.76666666666668,202.30833333333334,5.38,-8.597083,4993.295,2.1000001,3.0
2000-12-16,210.0,210.0,209.825,202.63055555555556,7.2,-7.2200007,23299.346,1.4000001,9.0
2000-12-17,210.0,210.0,209.85,202.91944444444445,8.96,-20.505417,28721.102,0.0,0.0
2000-12-18,215.5,210.78571428571428,210.05833333333334,203.25833333333333,5.03,-16.528332,0.0,6.9,15.0
2000-12-19,215.5,211.57142857142858,210.26666666666668,203.61388888888888,9.1,-17.567919,28816.621,0.0,0.0
2000-12-20,215.5,212.35714285714286,210.375,203.96666666666667,4.73,-16.363749,0.0,1.4000001,6.0
2000-12-21,218.0,213.5,210.63333333333333,204.31944444444446,9.1,-18.022085,28542.643,0.0,0.0
2000-12-22,218.0,214.64285714285714,210.89166666666668,204.67222222222222,9.13,-23.728333,28074.688,0.0,0.0
2000-12-23,218.0,215.78571428571428,211.15,205.025,8.04,-14.676251,24588.91,1.4000001,8.0
2000-12-24,218.0,216.92857142857142,211.39166666666668,205.37777777777777,9.4,-23.497086,28998.78,0.0,0.0
2000-12-25,218.0,217.28571428571428,211.63333333333333,205.6888888888889,5.6,-25.576246,8876.8,0.0,0.0
2000-12-26,220.0,217.92857142857142,211.94166666666666,206.01666666666668,8.62,-13.595,28758.469,0.0,0.0
2000-12-27,220.25,218.60714285714286,212.2,206.34722222222223,6.62,-17.053335,16812.453,0.0,0.0
2000-12-28,221.0,219.03571428571428,212.575,206.66944444444445,3.07,-13.730415,565.3049,4.4999995,11.0
2000-12-29,222.5,219.67857142857142,213.075,207.00833333333333,7.59,-10.788751,19518.707,0.8,5.0
2000-12-30,222.5,220.32142857142858,213.65833333333333,207.34722222222223,8.59,-15.657502,28678.807,0.0,0.0
2000-12-31,222.5,220.96428571428572,214.10833333333332,207.6861111111111,7.55,-17.311666,24410.215,0.0,0.0
2001-01-01,222.5,221.60714285714286,214.55833333333334,207.98888888888888,6.57,-13.138749,16782.164,0.3,3.0
2001-01-02,222.5,221.96428571428572,215.00833333333333,208.24444444444444,7.64,-12.907501,26096.275,0.0,0.0
2001-01-03,222.5,222.28571428571428,215.425,208.48888888888888,8.0,-6.1304164,29396.887,0.0,0.0
2001-01-04,222.5,222.5,215.84166666666667,208.74444444444444,7.66,-6.0720844,20738.93,0.0,0.0
2001-01-05,222.5,222.5,216.25833333333333,209.0,9.39,0.34249994,29529.23,0.0,0.0
2001-01-06,222.5,222.5,216.675,209.25555555555556,9.36,-2.9387496,29601.26,0.0,0.0
2001-01-07,222.5,222.5,217.09166666666667,209.51111111111112,5.8,-2.7387497,12731.538,0.0,0.0
2001-01-08,222.5,222.5,217.50833333333333,209.7888888888889,7.17,-7.7720838,29756.445,0.0,0.0
2001-01-09,222.5,222.5,217.925,210.04166666666666,9.25,-9.955417,29839.37,0.0,0.0
2001-01-10,222.5,222.5,218.34166666666667,210.2861111111111,9.04,-2.1887503,26019.541,0.0,0.0
2001-01-11,222.5,222.5,218.75833333333333,210.49166666666667,3.14,1.6904168,2299.2817,3.1999998,10.0
2001-01-12,222.5,222.5,219.175,210.69722222222222,6.67,-1.1095833,17259.152,0.90000004,3.0
2001-01-13,222.5,222.5,219.59166666666667,210.90277777777777,3.84,-0.61166674,0.0,0.9,1.0
